ros_time_sec,ground_truth_x,ground_truth_y,ground_truth_z,raw_gnss_lat,raw_gnss_lon,raw_gnss_alt,rtk_lat,rtk_lon,rtk_alt,raw_gnss_error_m,rtk_error_m,raw_gnss_std_m,rtk_std_m,improvement_pct,rtk_status_code,rtk_status_name,rtk_accuracy_m,correction_available,correction_quality,correction_age_sec,correction_sequence_id
1779301358.4211,0.0000,0.0000,0.2270,39.98102319,116.34401413,48.1537,39.98099766,116.34400115,50.3457,3.5233,0.3023,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,37
1779301358.5212,0.0000,0.0000,0.2270,39.98097533,116.34399769,51.6194,39.98099880,116.34399823,49.9596,3.0855,0.3350,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,38
1779301358.6212,0.0000,0.0000,0.2270,39.98100577,116.34398849,49.9431,39.98100081,116.34400096,50.5572,1.2065,0.3521,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,38
1779301358.7212,0.0000,0.0000,0.2270,39.98098010,116.34399397,51.8278,39.98100250,116.34399903,50.3228,2.7811,0.3061,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,39
1779301358.8211,0.0000,0.0000,0.2270,39.98100470,116.34399769,53.1535,39.98100016,116.34400609,50.2670,2.9794,0.5211,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,39
1779301358.9211,0.0000,0.0000,0.2270,39.98098860,116.34401893,50.7266,39.98100070,116.34399992,50.0187,2.1130,0.2227,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,40
1779301359.0211,0.0000,0.0000,0.2270,39.98097207,116.34397205,48.5509,39.98099934,116.34399866,50.7113,4.2618,0.5031,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,40
1779301359.1211,0.0000,0.0000,0.2270,39.98098704,116.34401945,50.7486,39.98099936,116.34399881,50.2733,2.2598,0.1325,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,41
1779301359.2213,0.0000,0.0000,0.2270,39.98099543,116.34401089,51.8228,39.98100001,116.34399665,50.8764,1.9152,0.7094,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,41
1779301359.3211,0.0000,0.0000,0.2270,39.98101931,116.34400392,50.3643,39.98099987,116.34400170,50.1844,2.1800,0.1520,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,42
1779301359.4211,0.0000,0.0000,0.2270,39.98100580,116.34398629,48.9497,39.98100244,116.34400195,50.3186,1.8480,0.3312,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,42
1779301359.5215,0.0000,0.0000,0.2270,39.98100612,116.34399497,49.7640,39.98099589,116.34400274,50.1431,0.9287,0.5209,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,43
1779301359.6210,0.0000,0.0000,0.2270,39.98097985,116.34396499,52.2728,39.98099838,116.34400262,49.8514,4.2582,0.4728,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,43
1779301359.7211,0.0000,0.0000,0.2270,39.98099268,116.34394787,53.8576,39.98099874,116.34400127,50.3433,5.7983,0.2119,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,44
1779301359.8209,0.0000,0.0000,0.2270,39.98099599,116.34397255,50.3762,39.98100178,116.34399975,50.3132,2.3882,0.2167,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,44
1779301359.9210,0.0000,0.0000,0.2270,39.98099072,116.34401175,51.5737,39.98099782,116.34400477,50.0051,1.9710,0.5234,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,45
1779301360.0212,0.0000,0.0000,0.2270,39.98099742,116.34402349,52.3327,39.98100327,116.34399870,50.2599,2.9208,0.3816,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,45
1779301360.1211,0.0000,0.0000,0.2270,39.98102108,116.34400454,49.6843,39.98099899,116.34399724,50.3401,2.4399,0.2841,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,46
1779301360.2211,0.0000,0.0000,0.2270,39.98100859,116.34397247,49.4188,39.98099462,116.34400336,50.0304,2.6615,0.6923,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,46
1779301360.3211,0.0000,0.0000,0.2270,39.98098887,116.34397034,50.5985,39.98099943,116.34399947,50.1872,2.8414,0.0872,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,47
1779301360.4211,0.0000,0.0000,0.2270,39.98098641,116.34400358,51.2873,39.98100086,116.34400194,50.3661,1.8724,0.2368,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,47
1779301360.5210,0.0000,0.0000,0.2270,39.98102742,116.34400521,50.0964,39.98099831,116.34399910,49.9689,3.0876,0.3286,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,48
1779301360.6212,0.0000,0.0000,0.2270,39.98098802,116.34397812,50.1210,39.98100011,116.34400098,50.0356,2.2964,0.2092,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,48
1779301360.7211,0.0000,0.0000,0.2270,39.98100996,116.34401583,49.9875,39.98100123,116.34399809,50.2740,1.7637,0.2183,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,49
1779301360.8212,0.0000,0.0000,0.2270,39.98099908,116.34397453,50.6201,39.98100043,116.34399736,49.8633,2.2098,0.4303,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,49
1779301360.9211,0.0000,0.0000,0.2270,39.98101682,116.34402350,49.8482,39.98099459,116.34400107,49.9379,2.7685,0.6744,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,50
1779301361.0211,0.0000,0.0000,0.2270,39.98098555,116.34399483,51.2986,39.98099736,116.34400585,50.0176,1.9821,0.6162,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,50
1779301361.1211,0.0000,0.0000,0.2270,39.98102171,116.34400414,48.3934,39.98100409,116.34400073,49.8141,3.0540,0.6178,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,51
1779301361.2211,0.0000,0.0000,0.2270,39.98099429,116.34397747,49.4461,39.98100054,116.34400238,49.7833,2.1694,0.4918,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,51
1779301361.3211,0.0000,0.0000,0.2270,39.98099222,116.34400906,52.1387,39.98099857,116.34399816,50.3623,2.2367,0.2612,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,52
1779301361.4212,0.0000,0.0000,0.2270,39.98100604,116.34401342,47.6986,39.98099768,116.34400158,50.2858,2.8556,0.2973,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,52
1779301361.5211,0.0000,0.0000,0.2270,39.98100601,116.34397496,49.0171,39.98100160,116.34399624,50.2874,2.5442,0.3719,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,53
1779301361.6211,0.0000,0.0000,0.2270,39.98101955,116.34398920,49.5660,39.98100060,116.34400009,50.0721,2.4543,0.1691,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,53
1779301361.7211,0.0000,0.0000,0.2270,39.98099281,116.34400828,49.6095,39.98099766,116.34400399,49.6238,1.2333,0.7400,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,54
1779301361.8212,0.0000,0.0000,0.2270,39.98103435,116.34402833,49.6191,39.98099930,116.34399432,50.1554,4.5642,0.4956,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,54
1779301361.9211,0.0000,0.0000,0.2270,39.98098500,116.34399666,51.0963,39.98099664,116.34400154,50.4018,1.9042,0.4328,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,55
1779301362.0211,0.0000,0.0000,0.2270,39.98100232,116.34403610,49.7210,39.98100138,116.34399958,49.7943,3.1310,0.4606,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,55
1779301362.1211,0.0000,0.0000,0.2270,39.98099474,116.34400289,52.9987,39.98100375,116.34399949,49.9511,2.8437,0.5019,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,56
1779301362.2212,0.0000,0.0000,0.2270,39.98100430,116.34401033,48.9234,39.98100272,116.34400052,50.1461,1.6446,0.3169,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,56
1779301362.3212,0.0000,0.0000,0.2270,39.98099976,116.34397025,48.8734,39.98099982,116.34399900,49.8006,2.8765,0.4354,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,57
1779301362.4211,0.0000,0.0000,0.2270,39.98100650,116.34397159,49.4429,39.98100176,116.34399248,50.2951,2.6478,0.6740,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,57
1779301362.5211,0.0000,0.0000,0.2270,39.98098226,116.34398745,51.4807,39.98100535,116.34400102,50.3320,2.5729,0.6111,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,58
1779301362.6211,0.0000,0.0000,0.2270,39.98099775,116.34400682,51.4522,39.98100281,116.34400183,50.0967,1.3791,0.3733,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,58
1779301362.7212,0.0000,0.0000,0.2270,39.98099354,116.34399234,51.4132,39.98099897,116.34400439,50.1208,1.5330,0.4059,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,59
1779301362.8211,0.0000,0.0000,0.2270,39.98099669,116.34400552,51.6551,39.98099814,116.34399340,50.0314,1.5483,0.6308,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,59
